Name,depart_time,price,depart_time_hour,depart_time_minute
대한항공,15:45,173051,15,45
대한항공,16:05,173051,16,5
아시아나항공,17:25,190339,17,25
대한항공,17:35,173051,17,35
대한항공,17:50,173051,17,50
아시아나항공,18:10,190339,18,10
아시아나항공,18:20,190339,18,20
아시아나항공,18:35,104916,18,35
대한항공,18:40,150509,18,40
티웨이항공,18:45,24238,18,45
대한항공,19:00,150509,19,0
제주항공,19:05,24407,19,5
티웨이항공,19:05,24746,19,5
아시아나항공,19:15,104916,19,15
이스타항공,19:25,18136,19,25
제주항공,19:35,24407,19,35
이스타항공,19:45,18136,19,45
이스타항공,20:00,18136,20,0
아시아나항공,20:10,104916,20,10
이스타항공,20:20,18136,20,20
제주항공,20:30,24407,20,30
아시아나항공,20:50,104916,20,50
대한항공,20:50,150509,20,50
대한항공,21:00,150509,21,0
